promotion,title,start_date,end_date,rating,party_1,party_2,party_3,party_4
World Wrestling Entertainment,"Suck it, Vince: Die Rückkehr der DX",05/2006 , 09/2006,7.55,Comments,Triple H,Shawn Michaels,Vince McMahon
World Wrestling Entertainment,Mehr als ein Power Ranger: Benoit vs. MVP,02/2007 , 06/2007,7.55,Chris Benoit,Montel Vontavious Porter,World Wrestling Entertainment,Summary
World Wrestling Entertainment,Warum Velocity uns fehlt: Akio vs. London,09/2004 , 06/2005,7.55,Paul London,Akio,World Wrestling Entertainment,Summary
World Wrestling Entertainment,Art copies Life: Matt Hardy vs. Edge,07/2005 , 10/2005,7.53,Comments,Matt Hardy,Edge,Lita
World Wrestling Entertainment,"Spieglein, Spieglein: Trish vs. Victoria",08/2002 , 05/2003,7.53,Trish Stratus,Victoria,Steven Richards,World Wrestling Entertainment
World Wrestling Entertainment,Der Griff nach dem Messingring: Hardy vs. HHH vs. Kozlov,08/2008 , 12/2008,7.52,Jeff Hardy,Triple H,Vladimir Kozlov,World Wrestling Entertainment
World Wrestling Entertainment,Schicksalstage: Christian & Edge vs. Alberto Del Rio,09/2010 , 05/2011,7.52,Christian,Edge,Alberto Del Rio,Brodus Clay
World Wrestling Entertainment,Das zweite Gesicht: Rey Mysterio vs. Cody Rhodes,01/2011 , 05/2011,7.51,Rey Mysterio,Cody Rhodes,World Wrestling Entertainment,Summary
World Wrestling Entertainment,Best in the World: CM Punk vs. Chris Jericho,02/2012 , 04/2012,7.51,Comments,CM Punk,Chris Jericho,World Wrestling Entertainment
World Wrestling Entertainment,Alundra Blayze vs. Bull Nakano,08/1994 , 04/1995,7.5,Alundra Blayze,Bull Nakano,Luna Vachon,World Wrestling Federation
World Wrestling Entertainment,Ein junger Hund sucht den Revierkampf: Taker vs. Cena,06/2003 , 08/2003,7.5,Comments,The Undertaker,Orlando Jordan,John Cena
World Wrestling Entertainment,"Christian, Regal und die böse Tafelrunde",06/2009 , 11/2009,7.48,Christian,Tommy Dreamer,Yoshi Tatsu,Goldust
World Wrestling Entertainment,Bob Backlund entthront den Superstar,01/1978 , 09/1978,7.47,Superstar Billy Graham,World Wide Wrestling Federation,Notes,(?)
World Wrestling Entertainment,Battle of The Brands: SmackDown vs. RAW 2005,09/2005 , 12/2005,7.44,Theodore Long,Batista,Rey Mysterio,John Bradshaw Layfield
World Wrestling Entertainment,Hardys vs. MNM,08/2006 , 03/2007,7.44,Jeff Hardy,Matt Hardy,Johnny Nitro,Melina
World Championship Wrestling,Die Raza verbündet sich: Die Geschichte der Latino World Order,10/1998 , 12/1998,7.4,Rey Mysterio Jr.,Eddie Guerrero,Juventud Guerrera,Psychosis
Impact Wrestling,Christian Cage vs. Abyss,03/2006 , 06/2006,7.39,Christian Cage,Abyss,James Mitchell,Alex Shelley
World Wrestling Entertainment,Undertaker vs. Brock Lesnar,08/2002 , 10/2002,7.39,Brock Lesnar,Paul Heyman,Matt Hardy Version 1.0,World Wrestling Entertainment
World Wrestling Entertainment,Von Speeren und Achillesfersen: Edge vs. Jericho,07/2009 , 04/2010,7.38,Comments,Edge,Chris Jericho,Wade Barrett
Extreme Championship Wrestling,Wie Benoit zum Crippler wurde,10/1994 , 04/1995,7.37,Dean Malenko,Sabu,The Tazmaniac,Rick Steiner
World Wrestling Entertainment,Ein Trauma und ein Geheimnis: Eddie vs. Rey 05,03/2005 , 09/2005,7.36,Rey Mysterio,Vickie Guerrero,Dominik Mysterio,Eddie Guerrero
World Wrestling Entertainment,Die letzten Outlaws: Undertaker vs. Triple H 2011,02/2011 , 04/2011,7.36,Comments,The Undertaker,Triple H,World Wrestling Entertainment
Extreme Championship Wrestling,"Extreme Underdog, die Zweite: Whipwreck & Cactus Jack vs. Public Enemy",08/1994 , 12/1994,7.33,Cactus Jack,Mikey Whipwreck,Johnny Grunge,Rocco Rock
Lucha Underground,Die Maschine fordert den Champion: Cage vs. Prince Puma,10/2014 , 01/2015,7.33,Prince Puma,Konnan,Hernandez,Lucha Underground
World Wrestling Entertainment,Ric Flair vs. Undertaker,02/2002 , 03/2002,7.32,Ric Flair,Arn Anderson,David Flair,The Undertaker
World Wrestling Entertainment,Hogan und die schwarz-schillernde Allianz,08/1991 , 02/1992,7.29,Comments,Hulk Hogan,Ric Flair,The Undertaker
Impact Wrestling,Eine letzte Chance für das Sorgenkind - Jeff Hardy vs. Jeff Jarrett 2011,09/2011 , 12/2011,7.29,Comments,Jeff Hardy,Jeff Jarrett,Karen Jarrett
United States Wrestling Association,Die Harts in Lawlers Königreich,06/1993 , 09/1993,7.25,Jerry Lawler,Jeff Jarrett,Bret Hart,Owen Hart
Athletik Club Wrestling,Die englische Herausforderung: Toby Nathland vs. Jonny Storm,08/2006 , 12/2007,7.25,Marco Zercher,Marco Z,Jonny Storm,Kosta Kaperdos
Impact Wrestling,Eine Freundschaft zerbricht: AJ Styles vs. Daniels vs. Samoa Joe '09,10/2009 , 12/2009,7.25,Comments,AJ Styles,Daniels,Samoa Joe
World Wrestling Entertainment,Miniaturen und Ministry-Erinnerungen: Undertaker vs. JBL,07/2004 , 12/2004,7.23,The Undertaker,John Bradshaw Layfield,Orlando Jordan,Gangrel
Impact Wrestling,17 Years Later: Foley vs. Sting,03/2009 , 05/2009,7.22,Comments,Mick Foley,Sting,Total Nonstop Action Wrestling
World Wrestling Entertainment,Vergiftete Geschenke: Savage vs. Roberts,08/1991 , 02/1992,7.21,Comments,Randy Savage,Miss Elizabeth,Jake Roberts
World Wrestling Entertainment,Immer Ärger mit der Ex: Edge vs. Ziggler,01/2011 , 02/2011,7.21,Edge,Kelly Kelly,Dolph Ziggler,Vickie Guerrero
World Wrestling Entertainment,John Cena bremst den Bulldozer,11/2006 , 01/2007,7.2,John Cena,Umaga,Armando Estrada,Armando Alejandro Estrada
World Wrestling Entertainment,Kettensägen und Container: NAO vs. Cactus Jack & Chainsaw Charlie,12/1997 , 03/1998,7.2,Cactus Jack,Dude Love,Chainsaw Charlie,The Road Dogg
World Wrestling Entertainment,Austin vs. Rock - der Anfang,10/1997 , 12/1997,7.2,Steve Austin,The Rock,Faarooq,D-Lo Brown
World Wrestling Entertainment,Shawn Michaels gegen die McMahons,12/2005 , 04/2006,7.18,Shawn Michaels,Marty Jannetty,Vince McMahon,Shane McMahon
World Wrestling Entertainment,Fair geht vor: Hardys vs. Cade & Murdoch,04/2007 , 06/2007,7.17,Matt Hardy,Lance Cade,Trevor Murdoch,Charlie Haas
World Wrestling Entertainment,Undertaker & Kane vs. Kennedy & MVP,09/2006 , 12/2006,7.15,Comments,The Undertaker,Kane,Mr. Kennedy
World Championship Wrestling,Der Kampf der Super-Stables: Horsemen vs. nWo,07/1996 , 12/1997,7.15,Comments,Ric Flair,Arn Anderson,Chris Benoit
World Wrestling Entertainment,Wer überfuhr Steve Austin?,09/2000 , 02/2001,7.14,Comments,Steve Austin,Rikishi,Triple H
World Wrestling Entertainment,Frustbewältigung mit Folgen: Kingston vs. Orton,10/2009 , 01/2010,7.13,Kofi Kingston,Randy Orton,Cody Rhodes,Ted DiBiase
Ohio Valley Wrestling,Die Waffen der Frauen: Spears & Runnels vs. Deuce & Domino,09/2006 , 12/2006,7.1,Shawn Spears,Deuce,Domino,Cherry
World Wrestling Entertainment,Glorifizierter Stuntman? - Flair vs. Foley,06/2006 , 08/2006,7.1,Comments,Ric Flair,Mick Foley,Melina
World Championship Wrestling,"Singin', Dancin', Flyin': 3-Count vs. Jung Dragons",03/2000 , 10/2000,7.09,Shane Helms,Shannon Moore,Tank Abbott,Kaz Hayashi
World Wrestling Entertainment,Cena - Orton: Das Finale,07/2009 , 10/2009,7.09,Comments,John Cena,Randy Orton,Cody Rhodes
World Wrestling Entertainment,Eine Geschäftspartnerschaft zerbricht: Perfect vs. Flair,11/1992 , 01/1993,7.08,Mr. Perfect,Ric Flair,Bobby Heenan,World Wrestling Federation
World Wrestling Entertainment,Der König der Welt wird gestürzt: Triple H vs. Jericho,01/2002 , 06/2002,7.03,Comments,Triple H,Chris Jericho,Stephanie McMahon
Ohio Valley Wrestling,Er fürchtet weder Tod noch Teufel: Jack Bull vs. Joey Mercury,10/2006 , 12/2006,7.0,SoSay,Joey Mercury,Aaron Stevens,Ohio Valley Wrestling
Impact Wrestling,Abyss' düsteres Geheimnis,11/2006 , 04/2007,7.0,Comments,Sting,Abyss,James Mitchell
World Championship Wrestling,Der Kampf der Midnight Expresses,11/1988 , 02/1989,7.0,Bobby Eaton,Stan Lane,Jim Cornette,Dennis Condrey
World Wrestling Entertainment,Captain Charisma ist zurück an Bord: Christian vs. Swagger,02/2009 , 06/2009,7.0,Comments,Christian,Jack Swagger,World Wrestling Entertainment
World Wrestling Entertainment,Dominante Duos: Brothers Of Destruction vs. Two Men Powertrip,04/2001 , 05/2001,7.0,Comments,The Undertaker,Kane,Steve Austin
World Wrestling Entertainment,Die Väter des Booms - 20 Jahre danach: Hogan vs. McMahon,01/2003 , 07/2003,7.0,Zach Gowen,Stephanie McMahon,Mr. America,Vince McMahon
World Wrestling Entertainment,One Man Band auf Revival-Tour: Heath Slater und die WWE Legenden,06/2012 , 07/2012,7.0,Lita,Roddy Piper,Vader,Sycho Sid
World Wrestling Entertainment,Stephanie & Test: Hochzeit mit Hindernissen,06/1999 , 12/1999,6.97,Stephanie McMahon,Gerald Brisco,Pat Patterson,Shane McMahon
World Wrestling Entertainment,Champion ohne Würde? Cena vs. Miz 2011,01/2011 , 05/2011,6.97,Comments,John Cena,The Miz,Alex Riley
World Wrestling Entertainment,Schwarz holt Gold: Der Taker gewinnt seinen zweiten Titel,01/1997 , 08/1997,6.94,Sycho Sid,Bret Hart,World Wrestling Federation,Summary
World Championship Wrestling,Eine nachgeholte Dream-Fehde: Hogan vs. Flair,06/1994 , 10/1994,6.93,Hulk Hogan,Jimmy Hart,Ric Flair,Sensuous Sherri
World Wrestling Entertainment,Wall Street vs. Street Style: Cena entthront JBL,02/2005 , 05/2005,6.91,John Cena,John Bradshaw Layfield,Orlando Jordan,World Wrestling Entertainment
World Wrestling Entertainment,Von McMahons Gnaden: Long vs. McIntyre,04/2010 , 07/2010,6.9,Comments,Theodore Long,Matt Hardy,Kofi Kingston
Impact Wrestling,Sprach der Rabe... einmal noch: Dreamer vs. Raven 2010,07/2010 , 08/2010,6.9,Tommy Dreamer,Raven,Total Nonstop Action Wrestling,Summary
World Wrestling Entertainment,Die Wiedergeburt des Deadman,11/2003 , 03/2004,6.89,Comments,The Undertaker,Paul Bearer,Kane
World Wrestling Entertainment,Die geknackte Kokosnuss und ihre Folgen: Piper vs. Snuka,03/1984 , 06/1985,6.89,Jimmy Snuka,Tonga Kid,Roddy Piper,Bob Orton
Impact Wrestling,Matt Morgan und die Mafia,04/2009 , 10/2009,6.89,Matt Morgan,Kurt Angle,Sting,AJ Styles
World Wrestling Entertainment,Wer attackierte den Undertaker?,06/2010 , 08/2010,6.88,Kane,Rey Mysterio,The Big Show,CM Punk
World Wrestling Entertainment,"Der Aufstieg des Ezekiel, der Abgang der ECW",12/2009 , 02/2010,6.88,William Regal,Christian,Vladimir Kozlov,World Wrestling Entertainment
World Wrestling Entertainment,Die Vendetta der Viper: Orton vs. McMahon/Helmsley,01/2009 , 08/2009,6.86,Comments,Triple H,Vince McMahon,Stephanie McMahon
World Wrestling Entertainment,Der King of Kings reklamiert seinen Thron: Cena vs. HHH,02/2006 , 05/2006,6.85,Comments,John Cena,Triple H,World Wrestling Entertainment
Extreme Championship Wrestling,"Der Champion, der den Titel nie verlor: Rob Van Dam vs. Rhino",03/2000 , 10/2000,6.83,Rob Van Dam,Bill Alfonso,Yoshihiro Tajiri,Kid Kash
World Wrestling Entertainment,Shelton macht Ärger im Paradies: Kingston vs. Benjamin,04/2008 , 06/2008,6.83,Shelton Benjamin,World Wrestling Entertainment,Summary,(?)
World Wrestling Entertainment,"If Cena wins, we riot: Cena gegen die ECW",05/2006 , 07/2006,6.82,John Cena,Rob Van Dam,Paul Heyman,Sabu
Impact Wrestling,Gekränkte Soldaten-Ehre: Angle vs. Anderson,02/2010 , 04/2010,6.82,Comments,Kurt Angle,Mr. Anderson,Total Nonstop Action Wrestling
Mid-Atlantic Championship Wrestling,Die originale Best Of 7 Serie: Magnum vs. Nikita,04/1986 , 08/1986,6.8,Magnum TA,Nikita Koloff,Ivan Koloff,Krusher Kruschev
World Wrestling Entertainment,And Dat Is De Bottom Lines: Santino vs. Austin,09/2007 , 11/2007,6.8,Santino Marella,Steve Austin,World Wrestling Entertainment,Summary
Impact Wrestling,Die letzte Schlacht der ECW Originals: EV 2.0 vs. Fourtune,08/2010 , 11/2010,6.8,Tommy Dreamer,Mick Foley,Raven,Rob Van Dam
World Wrestling Entertainment,"Virtuelle Bühne, reale Feindschaft: Cryme Tyme vs. Miz & Morrison",08/2008 , 01/2009,6.79,JTG,Shad,John Morrison,The Miz
World Wrestling Entertainment,Jenseits von Gut und Böse: Punk vs. Morrison,06/2007 , 11/2007,6.78,Comments,CM Punk,John Morrison,Johnny Nitro
Impact Wrestling,Rhino vs. Christian Cage,08/2006 , 11/2006,6.76,Rhino,Christian Cage,Total Nonstop Action Wrestling,Summary
World Championship Wrestling,Spiel mit dem Feuer: Sting vs. Vampiro,04/2000 , 09/2000,6.76,Vampiro,The Great Muta,Violent J,Shaggy 2 Dope
World Wrestling Entertainment,Big Shows WrestleMania-Fluch: Big Show vs. Cody Rhodes,02/2012 , 05/2012,6.76,Comments,Big Show,Cody Rhodes,World Wrestling Entertainment
World Wrestling Entertainment,Kampf der Giganten: Andre vs. Studd,02/1983 , 03/1986,6.75,Andre The Giant,Big John Studd,Freddie Blassie,Bobby Heenan
