promotion,title,start_date,end_date,rating,party_1,party_2,party_3,party_4
World Wrestling Entertainment,Delaney & Dreamer vs. Miz & Morrison,01/2008 , 02/2008,5.48,Colin Delaney,Tommy Dreamer,John Morrison,The Miz
World Wrestling Entertainment,Ein halbes Jahr Exil: Raven bei Heat,06/2002 , 12/2002,5.45,Raven,D-Lo Brown,Tommy Dreamer,The Hurricane
World Wrestling Entertainment,"Neubesinnung, neue Ambitionen: Booker T vs. JBL",10/2004 , 12/2004,5.43,Booker T,Josh Mathews,John Bradshaw Layfield,Orlando Jordan
World Wrestling Entertainment,I choppy choppy your pee pee: Venis vs. Kai En Tai,06/1998 , 08/1998,5.42,Val Venis,Yamaguchi-San,Sho Funaki,Dick Togo
World Wrestling Entertainment,Ankle Locks und Wasserwürfe: Mysterio vs. Swagger,06/2010 , 07/2010,5.42,Rey Mysterio,Jack Swagger,World Wrestling Entertainment,Summary
World Wrestling Entertainment,Die große Chance der Unvollendeten: Cryme Tyme vs. Jericho & Big Show,07/2009 , 09/2009,5.4,Comments,JTG,Shad Gaspard,Chris Jericho
World Wrestling Entertainment,Ein Shooting Star dreht durch: Kidman vs. London,08/2004 , 12/2004,5.39,Paul London,Chavo Guerrero,Billy Kidman,World Wrestling Entertainment
World Wrestling Entertainment,D-Lo als Doppelchamp: Brown vs. Jarrett,07/1999 , 09/1999,5.38,D-Lo Brown,Jeff Jarrett,Debra,Mark Henry
Impact Wrestling,Samoa Joe vs. Booker T,05/2008 , 08/2008,5.38,Comments,Samoa Joe,Kevin Nash,Booker T
World Wrestling Entertainment,Paartanzen in der WWE: Chris Jericho vs. Fandango,03/2013 , 05/2013,5.38,Chris Jericho,Fandango,Summer Rae,World Wrestling Entertainment
World Wrestling Entertainment,Bröckelndes Vermächtnis: Das Ende von Legacy,01/2010 , 03/2010,5.36,Randy Orton,Ted DiBiase,Cody Rhodes,World Wrestling Entertainment
World Wrestling Entertainment,Goldberg gegen den Great One,03/2003 , 05/2003,5.33,Goldberg,The Rock,Christian,World Wrestling Entertainment
World Wrestling Entertainment,Freitägliche Glamour-Gefechte: Melina vs. McCool,04/2009 , 10/2009,5.33,Melina,Michelle McCool,Alicia Fox,Layla
